ID,Name,BirthDate,Pos,NHL,HockeyDB,PuckPedia
aaremni01,Niklas Aarem-Olsen,2008-04-19,F,VAN,286319,niklas-aarem-olsen
abolsro01,Rodrigo Abols,1996-01-05,C,VAN,180663,rodrigo-abols
acciano01,Noel Acciari,1991-12-01,C,PIT,160732,noel-acciari
addisca01,Calen Addison,2000-04-11,D,PIT,191479,calen-addison
agozzan01,Andrew Agozzino,1991-01-03,LW,UTA,106986,andrew-agozzino
ahcanja01,Jack Ahcan,1997-05-18,D,COL,187479,jack-ahcan
ahose01,Sebastian Aho,1997-07-26,F,CAR,174983,sebastian-aho
aitchka01,Kashawn Aitcheson,2006-09-21,D,NYI,262950,kashawn-aitcheson
akeybe01,Beau Akey,2005-02-11,D,EDM,248607,beau-akey
akhtyar01,Artur Akhtyamov,2001-10-31,G,TOR,235521,artur-akhtyamov
alexeal01,Alexander Alexeyev,1999-11-15,D,WSH,196044,alexander-alexeyev
allanno01,Nolan Allan,2003-04-28,D,SJS,217929,nolan-allan
allenja01,Jake Allen,1990-08-07,G,NJD,106592,jake-allen
alschma01,Marek Alscher,2004-04-07,D,FLA,248076,marek-alscher
amadimi01,Michael Amadio,1996-05-13,C,OTT,160248,michael-amadio
amanni01,Nils Åman,2000-02-07,C,VAN,223819,nils-aman
amicoca01,Carter Amico,2007-03-15,D,PHI,271164,carter-amico
anderad01,Adam Andersson,2008-07-02,C,MIN,289672,adam-andersson
anderfr01,Frederik Andersen,1989-10-02,G,CAR,111711,frederik-andersen
anderjo05,Josh Anderson,1994-05-07,RW,MTL,138920,josh-anderson
andermi02,Michael Anderson,1999-05-25,D,LAK,187480,michael-anderson
anderra01,Rasmus Andersson,1996-10-27,D,VEG,165972,rasmus-andersson
andraem01,Emil Andrae,2002-02-23,D,PHI,210421,emil-andrae
andrepy01,Pyotr Andreyanov,2007-01-22,G,CBJ,281299,pyotr-andreyanov
annunju01,Justus Annunen,2000-03-11,G,NSH,213316,justus-annunen
applema01,Mason Appleton,1996-01-15,C,DET,177777,mason-appleton
armiajo01,Joel Armia,1993-05-31,RW,LAK,130454,joel-armia
artamni01,Nikita Artamonov,2005-11-17,LW,CAR,265433,nikita-artamonov
arvidvi01,Viktor Arvidsson,1993-04-08,LW,BOS,139983,viktor-arvidsson
askarya01,Yaroslav Askarov,2002-06-16,G,SJS,230532,yaroslav-askarov
aspinna01,Nathan Aspinall,2006-03-30,LW,NYR,262832,nathan-aspinall
aspirjo01,Jonathan Aspirot,1999-05-16,D,BOS,195904,jonathan-aspirot
astonza01,Zach Aston-Reese,1994-08-10,C,CBJ,132890,zach-aston-reese
aubekni01,Nicolas Aubé-Kubel,1996-05-10,RW,MIN,160327,nicolas-aube-kubel
audymjo01,Jonathan Marchessault,1990-12-27,C,NSH,106595,jonathan-marchessault
augustr01,Trey Augustine,2005-02-23,G,DET,248115,trey-augustine
backlmi01,Mikael Backlund,1989-03-17,C,CGY,104255,mikael-backlund
backos01,Oskar Back,2000-03-12,C,DAL,207945,oskar-back
badindo01,Dominik Badinka,2005-11-27,D,CAR,268989,dominik-badinka
bahlke01,Kevin Bahl,2000-06-27,D,CGY,195846,kevin-bahl
bainsar01,Arshdeep Bains,2001-01-09,F,VAN,211213,arshdeep-bains
balinuv01,Uvis Balinskis,1996-08-01,D,FLA,191621,uvis-balinskis
barbaiv01,Ivan Barbashev,1995-12-14,C,VEG,160332,ivan-barbashev
bardaza01,Zakhar Bardakov,2001-02-24,C,COL,234846,zakhar-bardakov
barkede01,Denver Barkey,2005-04-27,C,PHI,248685,denver-barkey
barkoal01,Aleksander Barkov,1995-09-02,C,FLA,145634,aleksander-barkov
barloco01,Colby Barlow,2005-02-14,LW,WPG,248686,colby-barlow
barreal01,Alex Barré-Boulet,1997-05-21,F,SJS,176685,alex-barre-boulet
barroju01,Justin Barron,2001-11-15,D,NSH,208949,justin-barron
barromo01,Morgan Barron,1998-12-02,C,WPG,196572,morgan-barron
barzama01,Mathew Barzal,1997-05-26,C,NYI,162987,mathew-barzal
bashaan01,Andrew Basha,2005-11-08,F,CGY,250842,andrew-basha
